origin_id,distance,month_name,day_of_week_sin,day_of_week_cos,minutes_sin,minutes_cos,precip_mm,cloud_cover,wind_speed,temp_range,humidity_comfort,heat_stress,duration
BT05,1.091282026742783,August,-0.433883739117558,-0.9009688679024191,0.8090169943749475,0.5877852522924731,0.0,3,6,14,Very Humid,Safe,2.1666666666666665
BT01,1.3487946268033535,March,0.0,1.0,0.48480962024633706,0.8746197071393957,0.0,35,1,8,Very Humid,Safe,3.066666666666667
BT01,1.3487946268033535,May,0.43388373911755823,-0.900968867902419,0.42261826174069944,0.9063077870366499,0.0,22,3,11,Very Humid,Safe,5.1
BT05,1.7382329657418492,February,0.9749279121818236,-0.22252093395631434,0.8191520442889918,0.573576436351046,0.0,18,4,11,Very Humid,Safe,7.333333333333333
BT04,3.200573835232762,April,0.43388373911755823,-0.900968867902419,0.7071067811865476,0.7071067811865476,0.0,36,4,9,Very Humid,Safe,9.0
BT03,0.9140332362197978,March,0.0,1.0,0.6819983600624985,0.7313537016191706,0.0,35,1,8,Very Humid,Safe,1.7166666666666666
BT03,0.9140332362197978,April,0.0,1.0,0.6560590289905072,0.754709580222772,0.0,33,2,11,Very Humid,Safe,1.7666666666666666
BT03,0.9140332362197978,July,0.43388373911755823,-0.900968867902419,-0.9986295347545738,-0.052335956242944306,0.0,87,4,11,Humid,Caution,3.8
BT02,1.4913432233154422,April,0.9749279121818236,-0.22252093395631434,0.6691306063588582,0.7431448254773942,0.0,38,2,10,Very Humid,Safe,5.033333333333333
BT02,1.4913432233154422,March,0.7818314824680298,0.6234898018587336,0.8829475928589269,0.46947156278589086,0.0,10,4,9,Very Humid,Caution,4.816666666666666
BT02,0.9140332362197978,March,-0.433883739117558,-0.9009688679024191,0.5150380749100542,0.8571673007021123,0.0,21,1,12,Very Humid,Safe,1.2666666666666666
BT03,0.9140332362197978,May,0.9749279121818236,-0.22252093395631434,0.6819983600624985,0.7313537016191706,0.0,12,4,8,Very Humid,Safe,1.8333333333333333
BT04,1.5892632315739608,April,0.7818314824680298,0.6234898018587336,0.9135454576426009,0.4067366430758002,0.5,80,2,10,Very Humid,Caution,5.4
BT04,1.5892632315739608,July,0.0,1.0,0.7431448254773941,0.6691306063588582,0.0,6,5,11,Very Humid,Safe,7.55
BT01,1.3487946268033535,February,0.7818314824680298,0.6234898018587336,0.4694715627858908,0.882947592858927,0.1,88,4,10,Very Humid,Safe,1.8166666666666669
BT06,1.369535376459733,February,0.7818314824680298,0.6234898018587336,0.8290375725550417,0.5591929034707468,0.5,79,1,11,Very Humid,Safe,6.366666666666666
BT06,1.369535376459733,March,0.7818314824680298,0.6234898018587336,0.8290375725550417,0.5591929034707468,0.0,23,1,9,Very Humid,Safe,5.866666666666666
BT02,0.9140332362197978,September,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.0,7,3,12,Very Humid,Safe,2.2666666666666666
BT03,0.9140332362197978,March,0.43388373911755823,-0.900968867902419,0.8480480961564261,0.5299192642332049,0.0,22,1,6,Very Humid,Safe,1.4166666666666667
BT02,1.3487946268033535,August,0.7818314824680298,0.6234898018587336,-0.5877852522924734,0.8090169943749473,0.0,0,10,13,Very Humid,Safe,6.35
BT05,1.091282026742783,February,0.0,1.0,0.7986355100472928,0.6018150231520484,0.0,36,5,12,Very Humid,Safe,1.7
BT02,1.4913432233154422,June,-0.433883739117558,-0.9009688679024191,0.7193398003386511,0.6946583704589974,0.0,53,0,6,Very Humid,Safe,4.666666666666667
BT02,0.9140332362197978,September,-0.433883739117558,-0.9009688679024191,0.4694715627858908,0.882947592858927,0.0,4,6,13,Very Humid,Safe,1.6666666666666667
BT03,0.9140332362197978,March,-0.433883739117558,-0.9009688679024191,-0.9563047559630354,0.2923717047227367,4.7,56,2,10,Very Humid,Safe,5.566666666666666
BT02,1.4913432233154422,September,0.9749279121818236,-0.22252093395631434,0.6691306063588582,0.7431448254773942,0.0,11,4,12,Very Humid,Safe,6.0
BT02,1.4913432233154422,April,0.43388373911755823,-0.900968867902419,0.6560590289905072,0.754709580222772,0.0,34,2,12,Very Humid,Safe,4.25
BT04,3.200573835232762,March,0.9749279121818236,-0.22252093395631434,0.9396926207859083,0.3420201433256688,0.0,4,6,8,Humid,Caution,9.566666666666666
BT03,0.9140332362197978,February,0.9749279121818236,-0.22252093395631434,-0.6819983600624983,0.7313537016191707,0.7,80,2,9,Very Humid,Safe,6.033333333333333
BT03,0.9140332362197978,July,0.9749279121818236,-0.22252093395631434,0.6819983600624985,0.7313537016191706,0.0,71,6,9,Very Humid,Safe,1.6
BT02,0.9140332362197978,August,-0.433883739117558,-0.9009688679024191,0.45399049973954675,0.8910065241883679,0.0,7,5,11,Very Humid,Safe,1.3833333333333333
BT06,1.369535376459733,May,0.9749279121818236,-0.22252093395631434,0.8386705679454239,0.5446390350150272,0.0,14,1,9,Very Humid,Safe,4.583333333333333
BT02,1.4913432233154422,August,0.0,1.0,0.6427876096865393,0.766044443118978,0.0,0,4,13,Very Humid,Safe,4.166666666666667
BT05,1.091282026742783,February,0.9749279121818236,-0.22252093395631434,0.8090169943749475,0.5877852522924731,0.0,70,1,9,Very Humid,Safe,1.75
BT04,1.5892632315739608,August,-0.433883739117558,-0.9009688679024191,0.7193398003386511,0.6946583704589974,0.0,3,6,14,Very Humid,Safe,7.65
BT05,1.091282026742783,February,0.43388373911755823,-0.900968867902419,0.8090169943749475,0.5877852522924731,0.0,28,1,10,Very Humid,Safe,2.5
