route_id,start_time,end_time,start_hour,end_hour,start_stop,end_stop,start_stop_id,end_stop_id,start_lat,start_lon,end_lat,end_lon,duration,distance
10,2024-02-01 06:54:08,2024-02-01 07:00:07,6,7,SPBU Tlogomas,SD Dinoyo 2,BT01,BT02,-7.93324,112.60354,-7.94329,112.61047,5.983333333333333,1.3487946268033537
10,2024-02-01 07:00:07,2024-02-01 07:09:44,7,7,SD Dinoyo 2,SMA 9,BT02,BT03,-7.94329,112.61047,-7.94979,112.61559,9.616666666666667,0.9140332362197978
10,2024-02-01 07:09:44,2024-02-01 07:11:05,7,7,SMA 9,SD Dinoyo 2,BT03,BT02,-7.94979,112.61559,-7.94329,112.61047,1.35,0.9140332362197978
10,2024-02-01 07:11:05,2024-02-01 07:15:01,7,7,SD Dinoyo 2,SMA 8,BT02,BT04,-7.94329,112.61047,-7.95658,112.61276,3.933333333333333,1.4913432233154422
10,2024-02-01 07:15:01,2024-02-01 07:21:56,7,7,SMA 8,MAN 2,BT04,BT05,-7.95658,112.61276,-7.96334,112.62548,6.916666666666667,1.5892632315739608
10,2024-02-01 07:21:56,2024-02-01 07:23:46,7,7,MAN 2,SMA Dempo,BT05,BT06,-7.96334,112.62548,-7.9725,112.6218,1.8333333333333333,1.091282026742783
10,2024-02-01 07:23:46,2024-02-01 07:29:43,7,7,SMA Dempo,SMP 4,BT06,BT07,-7.9725,112.6218,-7.97693,112.6334,5.95,1.369535376459733
10,2024-02-02 06:53:53,2024-02-02 06:58:38,6,6,SPBU Tlogomas,SD Dinoyo 2,BT01,BT02,-7.93324,112.60354,-7.94329,112.61047,4.75,1.3487946268033537
10,2024-02-02 06:58:38,2024-02-02 07:09:42,6,7,SD Dinoyo 2,SD Dinoyo 2,BT02,BT02,-7.94329,112.61047,-7.94329,112.61047,11.066666666666666,0.0
10,2024-02-02 07:09:42,2024-02-02 07:15:33,7,7,SD Dinoyo 2,SMA 8,BT02,BT04,-7.94329,112.61047,-7.95658,112.61276,5.85,1.4913432233154422
10,2024-02-02 07:15:33,2024-02-02 07:22:48,7,7,SMA 8,MAN 2,BT04,BT05,-7.95658,112.61276,-7.96334,112.62548,7.25,1.5892632315739608
10,2024-02-02 07:22:48,2024-02-02 07:24:34,7,7,MAN 2,SMA Dempo,BT05,BT06,-7.96334,112.62548,-7.9725,112.6218,1.7666666666666666,1.091282026742783
10,2024-02-02 07:24:34,2024-02-02 07:30:22,7,7,SMA Dempo,SMP 4,BT06,BT07,-7.9725,112.6218,-7.97693,112.6334,5.8,1.369535376459733
10,2024-02-05 06:46:42,2024-02-05 06:50:27,6,6,SMA 8,SD Dinoyo 2,BT04,BT02,-7.95658,112.61276,-7.94329,112.61047,3.75,1.4913432233154422
10,2024-02-05 06:50:27,2024-02-05 06:52:30,6,6,SD Dinoyo 2,SPBU Tlogomas,BT02,BT01,-7.94329,112.61047,-7.93324,112.60354,2.05,1.3487946268033537
10,2024-02-05 06:52:30,2024-02-05 07:00:01,6,7,SPBU Tlogomas,SPBU Tlogomas,BT01,BT01,-7.93324,112.60354,-7.93324,112.60354,7.516666666666667,0.0
10,2024-02-05 07:00:01,2024-02-05 07:01:47,7,7,SPBU Tlogomas,SD Dinoyo 2,BT01,BT02,-7.93324,112.60354,-7.94329,112.61047,1.7666666666666666,1.3487946268033537
10,2024-02-05 07:01:47,2024-02-05 07:12:42,7,7,SD Dinoyo 2,SD Dinoyo 2,BT02,BT02,-7.94329,112.61047,-7.94329,112.61047,10.916666666666666,0.0
10,2024-02-05 07:12:42,2024-02-05 07:17:22,7,7,SD Dinoyo 2,SMA 8,BT02,BT04,-7.94329,112.61047,-7.95658,112.61276,4.666666666666667,1.4913432233154422
