distance,minutes_sin,minutes_cos,month_num_sin,cloud_cover,month_num_cos,temp_range,temperature,wind_speed,day_of_week_cos,day_of_week_sin,duration
1.3487946268033535,-0.5591929034707467,-0.8290375725550417,-0.8660254037844385,4,-0.5000000000000004,13,20,8,-0.22252093395631434,0.9749279121818236,2.4
1.5892632315739608,0.7313537016191705,0.6819983600624985,0.8660254037844386,36,0.5000000000000001,12,18,5,1.0,0.0,6.25
1.5892632315739608,0.9205048534524403,0.39073112848927394,0.8660254037844387,85,-0.4999999999999998,11,19,5,-0.9009688679024191,-0.433883739117558,3.816666666666667
0.9140332362197978,0.5150380749100542,0.8571673007021123,-0.8660254037844385,4,-0.5000000000000004,13,18,7,-0.900968867902419,0.43388373911755823,1.5666666666666669
1.3487946268033535,0.374606593415912,0.9271838545667874,0.8660254037844387,53,-0.4999999999999998,11,22,3,1.0,0.0,4.016666666666667
0.9140332362197978,0.6560590289905072,0.754709580222772,0.8660254037844387,74,-0.4999999999999998,10,18,3,-0.22252093395631434,0.9749279121818236,1.2333333333333334
0.9140332362197978,0.6018150231520483,0.7986355100472928,0.8660254037844387,52,-0.4999999999999998,11,19,2,-0.9009688679024191,-0.433883739117558,1.3333333333333333
2.60327554779162,-0.9961946980917455,0.08715574274765789,-0.8660254037844385,82,-0.5000000000000004,8,28,6,-0.22252093395631434,0.9749279121818236,13.816666666666666
1.7382329657418492,0.8386705679454239,0.5446390350150272,-1.0,2,-1.8369701987210294e-16,15,19,8,-0.900968867902419,0.43388373911755823,7.416666666666667
1.4913432233154422,0.8910065241883678,0.4539904997395468,0.8660254037844387,85,-0.4999999999999998,11,19,5,-0.9009688679024191,-0.433883739117558,3.783333333333333
1.091282026742783,0.754709580222772,0.6560590289905073,0.4999999999999999,52,-0.8660254037844387,8,24,3,1.0,0.0,2.083333333333333
1.5892632315739608,0.7193398003386511,0.6946583704589974,0.4999999999999999,89,-0.8660254037844387,7,24,4,0.6234898018587336,0.7818314824680298,4.65
1.5892632315739608,0.7193398003386511,0.6946583704589974,-0.8660254037844385,27,-0.5000000000000004,8,29,3,-0.900968867902419,0.43388373911755823,7.333333333333333
0.9140332362197978,-0.9781476007338058,0.20791169081775857,1.2246467991473532e-16,29,-1.0,6,22,5,-0.9009688679024191,-0.433883739117558,6.416666666666667
1.3487946268033535,0.48480962024633706,0.8746197071393957,-0.8660254037844385,27,-0.5000000000000004,14,20,6,-0.9009688679024191,-0.433883739117558,2.3
0.9140332362197978,0.6156614753256582,0.788010753606722,-0.8660254037844385,75,-0.5000000000000004,8,22,3,-0.9009688679024191,-0.433883739117558,1.85
0.9140332362197978,-0.9563047559630354,0.2923717047227367,1.0,51,6.123233995736766e-17,9,19,3,-0.9009688679024191,-0.433883739117558,5.566666666666666
1.4913432233154422,0.7431448254773941,0.6691306063588582,-0.8660254037844385,3,-0.5000000000000004,11,22,8,1.0,0.0,5.633333333333334
0.9140332362197978,0.49999999999999994,0.8660254037844387,-1.0,70,-1.8369701987210294e-16,12,22,6,0.6234898018587336,0.7818314824680298,1.9333333333333331
1.369535376459733,0.8386705679454239,0.5446390350150272,-0.8660254037844385,75,-0.5000000000000004,8,22,3,-0.9009688679024191,-0.433883739117558,5.533333333333333
0.9140332362197978,0.6691306063588582,0.7431448254773942,0.4999999999999999,74,-0.8660254037844387,9,23,3,-0.22252093395631434,0.9749279121818236,1.5
1.091282026742783,0.754709580222772,0.6560590289905073,0.8660254037844387,52,-0.4999999999999998,11,19,2,-0.9009688679024191,-0.433883739117558,1.55
0.9140332362197978,0.6691306063588582,0.7431448254773942,0.8660254037844386,74,0.5000000000000001,8,23,2,-0.900968867902419,0.43388373911755823,2.1333333333333333
0.9140332362197978,0.49999999999999994,0.8660254037844387,0.4999999999999999,52,-0.8660254037844387,8,24,3,1.0,0.0,1.1833333333333331
1.3487946268033535,0.4383711467890774,0.898794046299167,0.4999999999999999,38,-0.8660254037844387,11,18,5,-0.9009688679024191,-0.433883739117558,3.983333333333333
1.369535376459733,0.8290375725550417,0.5591929034707468,0.8660254037844386,89,0.5000000000000001,11,27,2,0.6234898018587336,0.7818314824680298,6.366666666666666
1.3487946268033535,-0.5591929034707473,0.8290375725550414,-0.8660254037844385,7,-0.5000000000000004,13,19,8,-0.22252093395631434,0.9749279121818236,11.666666666666666
1.4913432233154422,0.8660254037844386,0.5000000000000001,1.0,62,6.123233995736766e-17,6,22,1,-0.900968867902419,0.43388373911755823,4.383333333333334
1.4913432233154422,0.6560590289905072,0.754709580222772,0.4999999999999999,10,-0.8660254037844387,8,22,4,-0.900968867902419,0.43388373911755823,5.033333333333333
1.369535376459733,0.7771459614569708,0.6293203910498375,-0.8660254037844385,1,-0.5000000000000004,12,27,2,1.0,0.0,5.833333333333333
0.9140332362197978,-0.2419218955996675,-0.9702957262759965,1.2246467991473532e-16,9,-1.0,7,22,6,1.0,0.0,2.95
0.9140332362197978,0.6819983600624985,0.7313537016191706,-0.4999999999999997,3,-0.8660254037844388,10,19,4,1.0,0.0,1.4666666666666666
1.3487946268033535,0.40673664307580015,0.9135454576426009,-0.8660254037844385,5,-0.5000000000000004,12,21,4,-0.22252093395631434,0.9749279121818236,5.2
2.0232108549200403,0.766044443118978,0.6427876096865394,-0.4999999999999997,24,-0.8660254037844388,9,22,8,0.6234898018587336,0.7818314824680298,9.416666666666666
2.60327554779162,-0.9986295347545738,-0.052335956242944306,0.4999999999999999,79,-0.8660254037844387,8,23,3,1.0,0.0,14.033333333333331
