distance,duration_minutes,day_of_week_sin,day_of_week_cos,minutes_sin,minutes_cos,temperature,precip_mm,visibility,cloud_cover,wind_speed,month_num_sin,month_num_cos,temp_range,humidity_comfort,heat_stress,duration
1.4913432233154422,0.0427777777777777,0.0,1.0,0.3420201433256687,0.9396926207859084,22,0.2,10,53,3,0.8660254037844387,-0.4999999999999998,11,Very Humid,Safe,2.566666666666667
0.9140332362197978,0.0205555555555555,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,29,0.0,10,27,3,-0.8660254037844385,-0.5000000000000004,8,Humid,Caution,1.2333333333333334
1.369535376459733,0.0825,0.9749279121818236,-0.22252093395631434,0.9510565162951535,0.30901699437494745,19,0.3,9,82,4,1.0,6.123233995736766e-17,9,Very Humid,Safe,4.95
1.369535376459733,0.1044444444444444,0.0,1.0,0.7986355100472928,0.6018150231520484,19,0.0,10,3,7,-0.8660254037844385,-0.5000000000000004,13,Very Humid,Safe,6.266666666666667
2.60327554779162,0.1927777777777777,0.0,1.0,-0.0348994967025009,-0.9993908270190958,22,0.0,10,9,6,1.2246467991473532e-16,-1.0,7,Very Humid,Safe,11.566666666666666
1.7382329657418492,0.1258333333333333,0.7818314824680298,0.6234898018587336,0.8480480961564261,0.5299192642332049,21,0.0,10,4,8,-1.0,-1.8369701987210294e-16,13,Very Humid,Safe,7.55
0.9140332362197978,0.0205555555555555,0.43388373911755823,-0.900968867902419,0.5591929034707469,0.8290375725550417,28,0.0,10,3,4,-0.4999999999999997,-0.8660254037844388,11,Comfortable,Caution,1.2333333333333334
0.9140332362197978,0.0363888888888888,0.0,1.0,0.7071067811865476,0.7071067811865476,20,0.0,10,4,5,-0.4999999999999997,-0.8660254037844388,10,Very Humid,Safe,2.183333333333333
1.5892632315739608,0.0888888888888888,0.7818314824680298,0.6234898018587336,0.7431448254773941,0.6691306063588582,23,0.0,10,85,4,1.2246467991473532e-16,-1.0,7,Very Humid,Safe,5.333333333333333
1.4913432233154422,0.075,0.0,1.0,0.6560590289905072,0.754709580222772,21,0.0,10,14,6,-1.0,-1.8369701987210294e-16,12,Very Humid,Safe,4.5
4.786027983623583,0.4277777777777778,-0.433883739117558,-0.9009688679024191,0.8571673007021122,0.5150380749100543,21,0.0,10,14,6,-0.8660254037844385,-0.5000000000000004,8,Very Humid,Safe,25.666666666666668
0.9140332362197978,0.0280555555555555,0.7818314824680298,0.6234898018587336,0.6560590289905072,0.754709580222772,21,0.0,10,0,7,-0.8660254037844385,-0.5000000000000004,13,Very Humid,Safe,1.6833333333333331
1.3487946268033535,0.1241666666666666,0.0,1.0,-0.7071067811865477,0.7071067811865474,23,0.0,10,51,4,1.2246467991473532e-16,-1.0,7,Very Humid,Safe,7.45
2.2617319586218145,0.1008333333333333,0.7818314824680298,0.6234898018587336,0.7193398003386511,0.6946583704589974,28,0.5,9,80,2,0.8660254037844387,-0.4999999999999998,10,Very Humid,Caution,6.05
0.9140332362197978,0.0213888888888888,0.0,1.0,0.6018150231520483,0.7986355100472928,22,0.0,10,47,6,0.4999999999999999,-0.8660254037844387,7,Very Humid,Safe,1.2833333333333334
1.4913432233154422,0.0947222222222222,0.43388373911755823,-0.900968867902419,0.6946583704589973,0.7193398003386512,19,0.1,10,84,6,-1.0,-1.8369701987210294e-16,15,Very Humid,Safe,5.683333333333334
1.5892632315739608,0.0761111111111111,0.0,1.0,0.9205048534524403,0.39073112848927394,19,0.0,10,71,6,0.8660254037844387,-0.4999999999999998,12,Very Humid,Safe,4.566666666666666
1.4913432233154422,0.07,0.43388373911755823,-0.900968867902419,0.9063077870366499,0.42261826174069944,29,0.0,10,8,3,0.8660254037844387,-0.4999999999999998,14,Humid,Extreme Caution,4.2
1.5892632315739608,0.1094444444444444,0.9749279121818236,-0.22252093395631434,0.7313537016191705,0.6819983600624985,21,0.0,10,18,8,-0.8660254037844385,-0.5000000000000004,11,Very Humid,Safe,6.566666666666666
1.369535376459733,0.1038888888888888,0.0,1.0,-0.9986295347545738,0.052335956242943946,18,0.0,10,34,3,0.8660254037844386,0.5000000000000001,10,Very Humid,Safe,6.233333333333333
0.9140332362197978,0.0341666666666666,0.43388373911755823,-0.900968867902419,0.5150380749100542,0.8571673007021123,19,0.1,10,84,6,-1.0,-1.8369701987210294e-16,15,Very Humid,Safe,2.05
1.3487946268033535,0.0313888888888888,0.43388373911755823,-0.900968867902419,0.4694715627858908,0.882947592858927,30,0.5,9,89,5,0.8660254037844386,0.5000000000000001,9,Humid,Extreme Caution,1.8833333333333333
1.3487946268033535,0.0441666666666666,0.7818314824680298,0.6234898018587336,0.4694715627858908,0.882947592858927,21,0.0,10,0,7,-0.8660254037844385,-0.5000000000000004,13,Very Humid,Safe,2.65
2.60327554779162,0.4333333333333333,-0.433883739117558,-0.9009688679024191,-0.9876883405951377,-0.15643446504023104,19,0.0,2,51,3,1.0,6.123233995736766e-17,9,Very Humid,Safe,26.0
0.9140332362197978,0.0213888888888888,0.43388373911755823,-0.900968867902419,0.5591929034707469,0.8290375725550417,21,0.0,10,14,6,-0.4999999999999997,-0.8660254037844388,10,Very Humid,Safe,1.2833333333333334
0.9140332362197978,0.0263888888888888,0.0,1.0,0.6156614753256582,0.788010753606722,19,0.0,10,3,7,-0.8660254037844385,-0.5000000000000004,13,Very Humid,Safe,1.5833333333333333
1.4913432233154422,0.0625,0.0,1.0,0.29237170472273677,0.9563047559630354,22,0.0,2,78,4,0.8660254037844386,0.5000000000000001,7,Very Humid,Safe,3.75
