iter	Passed	Remaining
402	14362	21276
403	14397	21240
404	14433	21205
405	14467	21167
406	14501	21129
407	14536	21092
408	14570	21054
409	14605	21018
410	14640	20980
411	14674	20942
412	14708	20905
413	14761	20894
414	14796	20857
415	14831	20820
416	14866	20785
417	14901	20748
418	14935	20710
419	14971	20674
420	15015	20650
421	15051	20616
422	15086	20579
423	15123	20544
424	15159	20509
425	15193	20472
426	15228	20434
427	15264	20400
428	15299	20364
429	15334	20327
430	15370	20291
431	15404	20254
432	15438	20216
433	15473	20179
434	15509	20144
435	15543	20106
436	15577	20069
437	15612	20032
438	15647	19996
439	15688	19966
440	15723	19930
441	15758	19894
442	15793	19857
443	15828	19821
444	15864	19785
445	15899	19749
446	15934	19712
447	15967	19674
448	16003	19638
449	16037	19601
450	16072	19564
451	16106	19527
452	16152	19503
453	16187	19467
454	16225	19434
455	16259	19397
456	16294	19361
457	16325	19319
458	16359	19282
459	16394	19246
460	16430	19210
461	16465	19173
462	16499	19136
463	16536	19101
464	16570	19065
465	16605	19028
466	16640	18992
467	16674	18954
468	16708	18917
469	16746	18884
470	16780	18847
471	16814	18809
472	16856	18781
473	16880	18732
474	16914	18694
475	16947	18656
476	16981	18619
477	17015	18582
478	17050	18545
479	17084	18508
480	17121	18474
481	17149	18430
482	17185	18395
483	17220	18358
484	17254	18321
485	17290	18286
486	17325	18250
487	17359	18212
488	17395	18177
489	17428	18140
490	17463	18103
491	17503	18072
492	17537	18035
493	17571	17998
494	17613	17969
495	17648	17932
496	17682	17895
497	17718	17860
498	17753	17824
499	17788	17788
500	17821	17750
501	17862	17720
502	17896	17683
503	17932	17647
504	17966	17611
505	18001	17574
506	18037	17538
507	18072	17503
508	18107	17466
509	18143	17432
510	18177	17394
511	18212	17358
512	18246	17321
513	18281	17285
514	18316	17249
515	18351	17213
516	18386	17177
517	18420	17140
518	18455	17104
519	18491	17069
520	18527	17033
521	18562	16997
522	18596	16960
523	18630	16923
524	18665	16887
525	18699	16850
526	18737	16817
527	18772	16781
528	18806	16744
529	18850	16716
530	18885	16680
531	18919	16643
532	18953	16606
533	18988	16570
534	19023	16534
535	19059	16499
536	19093	16462
537	19128	16426
538	19162	16389
539	19196	16352
540	19231	16316
541	19266	16280
542	19301	16244
543	19335	16207
544	19370	16171
545	19405	16135
546	19439	16099
547	19474	16062
548	19509	16027
549	19544	15991
550	19581	15956
551	19616	15920
552	19650	15884
553	19684	15847
554	19721	15812
555	19756	15776
556	19791	15740
557	19826	15704
558	19861	15668
559	19896	15632
560	19931	15597
561	19966	15560
562	20001	15524
563	20025	15480
564	20060	15444
565	20100	15413
566	20139	15379
567	20173	15343
568	20207	15306
569	20243	15271
570	20278	15235
571	20312	15198
572	20347	15162
573	20382	15126
574	20416	15090
575	20452	15055
576	20486	15018
577	20522	14983
578	20559	14949
579	20594	14913
580	20628	14876
581	20674	14848
582	20709	14812
583	20753	14783
584	20790	14749
585	20824	14712
586	20860	14676
587	20895	14640
588	20929	14604
589	20964	14568
590	20998	14532
591	21033	14496
592	21069	14460
593	21103	14424
594	21136	14387
595	21170	14350
596	21205	14314
597	21240	14278
598	21274	14242
599	21310	14206
600	21343	14170
601	21379	14134
602	21414	14098
603	21450	14063
604	21484	14027
605	21520	13992
606	21558	13958
607	21595	13923
608	21630	13887
609	21665	13851
610	21702	13817
611	21737	13781
612	21771	13744
613	21806	13708
614	21841	13672
615	21877	13638
616	21912	13602
617	21946	13565
618	21981	13530
619	22016	13494
620	22034	13448
621	22068	13411
622	22103	13375
623	22137	13339
624	22172	13303
625	22206	13267
626	22243	13232
627	22279	13197
628	22313	13160
629	22347	13124
630	22382	13089
631	22416	13052
632	22451	13017
633	22485	12980
634	22521	12945
635	22557	12910
636	22591	12874
637	22626	12838
638	22661	12802
639	22696	12766
640	22731	12731
641	22767	12696
642	22803	12660
643	22837	12624
644	22872	12588
645	22907	12553
646	22942	12517
647	22977	12481
648	23011	12445
649	23047	12410
650	23082	12374
651	23117	12338
652	23151	12302
653	23185	12266
654	23219	12230
655	23254	12194
656	23289	12158
657	23324	12122
658	23357	12086
659	23393	12051
660	23428	12015
661	23462	11979
662	23497	11943
663	23532	11908
664	23567	11872
665	23602	11836
666	23636	11800
667	23670	11764
668	23707	11729
669	23743	11694
670	23778	11659
671	23814	11623
672	23848	11587
673	23882	11551
674	23918	11516
675	23953	11480
676	23987	11444
677	24023	11409
678	24059	11374
679	24093	11338
680	24132	11304
681	24167	11268
682	24202	11232
683	24236	11196
684	24273	11162
685	24309	11127
686	24344	11091
687	24377	11055
688	24412	11019
689	24448	10984
690	24483	10948
691	24536	10920
692	24572	10885
693	24606	10849
694	24648	10817
695	24683	10781
696	24719	10745
697	24754	10710
698	24789	10674
699	24823	10638
700	24858	10603
701	24893	10567
702	24927	10531
703	24963	10496
704	25003	10462
705	25040	10427
706	25075	10392
707	25110	10356
708	25144	10320
709	25180	10285
710	25216	10249
711	25250	10213
712	25285	10177
713	25319	10141
714	25354	10106
715	25389	10070
716	25423	10034
717	25457	9998
718	25493	9963
719	25534	9930
720	25583	9899
721	25618	9864
722	25653	9828
723	25688	9792
724	25724	9757
725	25759	9722
726	25794	9686
