trip_id,route_id,start_time,end_time,duration,distance,start_stop,end_stop,total_duration,stops
6,10,2024-02-07 07:36:49,2024-02-12 07:30:11,7193.366666666667,14.758996642686427,SMP 4,SMP 4,7193.366666666667,6.0
7,10,2024-02-12 07:30:11,2024-02-13 07:31:12,1441.0166666666667,13.842595597892085,SMP 4,SMP 4,1441.0166666666667,7.0
8,10,2024-02-13 07:31:12,2024-02-15 07:35:55,2884.7166666666662,14.565180035352753,SMP 4,SMP 4,2884.7166666666667,6.0
9,10,2024-02-15 07:35:55,2024-02-16 07:34:35,1438.6666666666667,14.565180035352753,SMP 4,SMP 4,1438.6666666666667,7.0
10,10,2024-02-16 07:34:35,2024-02-19 07:31:05,4316.5,14.036412205225758,SMP 4,SMP 4,4316.5,7.0
11,10,2024-02-19 07:31:05,2024-02-20 07:31:24,1440.3166666666666,14.565180035352753,SMP 4,SMP 4,1440.3166666666666,6.0
12,10,2024-02-20 07:31:24,2024-02-21 07:32:00,1440.6,13.842595597892085,SMP 4,SMP 4,1440.6,7.0
13,10,2024-02-21 07:32:00,2024-02-22 07:15:31,1423.5166666666667,10.515099400576275,SMP 4,SMA 8,1423.5166666666667,6.0
14,10,2024-02-22 07:15:31,2024-02-23 07:30:14,1454.7166666666667,11.49254818015672,SMA 8,SMP 4,1454.7166666666667,4.0
15,10,2024-02-23 07:30:14,2024-02-26 07:33:45,4323.516666666666,14.758996642686427,SMP 4,SMP 4,4323.516666666666,6.0
16,10,2024-02-26 07:33:45,2024-02-27 07:29:14,1435.4833333333333,14.565180035352753,SMP 4,SMP 4,1435.4833333333333,7.0
17,10,2024-02-27 07:29:14,2024-02-28 07:31:25,1442.1833333333334,14.565180035352753,SMP 4,SMP 4,1442.1833333333334,7.0
18,10,2024-02-28 07:31:25,2024-02-29 07:32:39,1441.2333333333333,14.565180035352753,SMP 4,SMP 4,1441.2333333333333,7.0
19,10,2024-02-29 07:32:39,2024-03-01 07:29:53,1437.2333333333333,13.842595597892085,SMP 4,SMP 4,1437.2333333333333,7.0
20,10,2024-03-01 07:29:53,2024-03-04 07:33:27,4323.566666666667,14.758996642686427,SMP 4,SMP 4,4323.566666666667,6.0
21,10,2024-03-04 07:33:27,2024-03-05 07:31:39,1438.2,14.565180035352753,SMP 4,SMP 4,1438.2,7.0
22,10,2024-03-05 07:31:39,2024-03-06 07:36:26,1444.7833333333333,13.90784563195605,SMP 4,SMP 4,1444.7833333333333,7.0
23,10,2024-03-06 07:36:26,2024-03-07 07:33:10,1436.7333333333333,13.842595597892085,SMP 4,SMP 4,1436.7333333333333,6.0
24,10,2024-03-07 07:33:10,2024-03-08 07:38:45,1445.5833333333333,14.565180035352753,SMP 4,SMP 4,1445.5833333333333,6.0
25,10,2024-03-08 07:38:45,2024-03-15 07:49:20,10090.583333333334,14.565180035352753,SMP 4,SMP 4,10090.583333333334,7.0
26,10,2024-03-15 07:49:20,2024-03-18 07:48:37,4319.283333333333,14.565180035352753,SMP 4,SMP 4,4319.283333333334,7.0
27,10,2024-03-18 07:48:37,2024-03-19 07:46:46,1438.1499999999999,14.565180035352753,SMP 4,SMP 4,1438.15,7.0
28,10,2024-03-19 07:46:46,2024-03-20 07:48:56,1442.1666666666667,13.715673235809039,SMP 4,SMP 4,1442.1666666666667,7.0
29,10,2024-03-20 07:48:56,2024-03-21 07:45:22,1436.4333333333334,13.90784563195605,SMP 4,SMP 4,1436.4333333333334,5.0
30,10,2024-03-21 07:45:22,2024-03-22 07:46:55,1441.55,13.842595597892085,SMP 4,SMP 4,1441.55,6.0
31,10,2024-03-22 07:46:55,2024-03-25 07:44:10,4317.25,13.715673235809039,SMP 4,SMP 4,4317.25,6.0
32,10,2024-03-25 07:44:10,2024-03-26 07:59:11,1455.0166666666667,14.565180035352753,SMP 4,SMP 4,1455.0166666666667,5.0
33,10,2024-03-26 07:59:11,2024-03-27 07:46:21,1427.1666666666665,14.565180035352753,SMP 4,SMP 4,1427.1666666666667,7.0
34,10,2024-03-27 07:46:21,2024-03-28 07:45:26,1439.0833333333333,14.565180035352753,SMP 4,SMP 4,1439.0833333333333,7.0
35,10,2024-03-28 07:45:26,2024-04-01 07:47:51,5762.416666666667,12.97189608311891,SMP 4,SMP 4,5762.416666666667,7.0
36,10,2024-04-01 07:47:51,2024-04-02 07:46:15,1438.4,12.97189608311891,SMP 4,SMP 4,1438.4,6.0
37,10,2024-04-02 07:46:15,2024-04-03 07:48:12,1441.9499999999998,12.249311645658242,SMP 4,SMP 4,1441.95,6.0
38,10,2024-04-03 07:48:12,2024-04-04 07:49:08,1440.9333333333334,14.565180035352753,SMP 4,SMP 4,1440.9333333333334,5.0
39,10,2024-04-04 07:49:08,2024-04-05 07:54:18,1445.1666666666665,13.237141540460053,SMP 4,SMA Dempo,1445.1666666666667,7.0
40,10,2024-04-05 07:54:18,2024-04-18 07:23:00,18688.7,12.73212686282999,SMA Dempo,SMP 4,18688.7,6.0
41,10,2024-04-18 07:23:00,2024-04-19 07:39:11,1456.1833333333334,18.793579297837926,SMP 4,SD Dinoyo 2,1456.1833333333334,5.0
42,10,2024-04-19 07:39:11,2024-04-22 07:30:07,4310.933333333333,12.392431627372403,SD Dinoyo 2,SMP 4,4310.933333333333,6.0
43,10,2024-04-22 07:30:07,2024-04-23 07:28:24,1438.2833333333333,14.565180035352753,SMP 4,SMP 4,1438.2833333333333,5.0
44,10,2024-04-23 07:28:24,2024-04-24 07:29:44,1441.3333333333335,13.842595597892085,SMP 4,SMP 4,1441.3333333333333,7.0
45,10,2024-04-24 07:29:44,2024-04-25 07:26:11,1436.4499999999998,14.565180035352753,SMP 4,SMP 4,1436.45,6.0
46,10,2024-04-25 07:26:11,2024-04-26 07:24:54,1438.7166666666667,14.565180035352753,SMP 4,SMP 4,1438.7166666666667,7.0
47,10,2024-04-26 07:24:54,2024-04-29 07:26:06,4321.2,14.565180035352753,SMP 4,SMP 4,4321.2,7.0
48,10,2024-04-29 07:26:06,2024-04-30 07:32:04,1445.9666666666667,13.90784563195605,SMP 4,SMP 4,1445.9666666666667,7.0
49,10,2024-04-30 07:32:04,2024-05-02 07:29:20,2877.266666666667,14.758996642686427,SMP 4,SMP 4,2877.266666666667,6.0
50,10,2024-05-02 07:29:20,2024-05-03 07:27:33,1438.2166666666667,14.758996642686427,SMP 4,SMP 4,1438.2166666666667,7.0
51,10,2024-05-03 07:27:33,2024-05-06 07:23:48,4316.25,13.715673235809039,SMP 4,SMP 4,4316.25,7.0
52,10,2024-05-06 07:23:48,2024-05-07 07:24:22,1440.5666666666668,13.715673235809039,SMP 4,SMP 4,1440.5666666666666,5.0
53,10,2024-05-07 07:24:22,2024-05-08 07:27:10,1442.8,13.715673235809039,SMP 4,SMP 4,1442.8,5.0
54,10,2024-05-08 07:27:10,2024-05-13 07:25:43,7198.55,14.758996642686427,SMP 4,SMP 4,7198.55,5.0
55,10,2024-05-13 07:25:43,2024-05-14 07:25:27,1439.7333333333333,14.565180035352753,SMP 4,SMP 4,1439.7333333333333,7.0
56,10,2024-05-14 07:25:27,2024-05-15 07:26:32,1441.0833333333333,14.565180035352753,SMP 4,SMP 4,1441.0833333333333,7.0
57,10,2024-05-15 07:26:32,2024-05-16 07:26:29,1439.95,14.565180035352753,SMP 4,SMP 4,1439.95,7.0
58,10,2024-05-16 07:26:29,2024-05-17 07:26:38,1440.1499999999999,14.565180035352753,SMP 4,SMP 4,1440.15,7.0
59,10,2024-05-17 07:26:38,2024-05-20 07:33:39,4327.016666666667,15.934715411812485,SMP 4,SMA Dempo,4327.016666666666,7.0
60,10,2024-05-20 07:33:39,2024-05-21 07:27:22,1433.7166666666665,13.504312940958451,SMA Dempo,SMP 4,1433.7166666666667,7.0
61,10,2024-05-21 07:27:22,2024-05-22 07:31:58,1444.6,11.86760616400032,SMP 4,SMP 4,1444.6,6.0
62,10,2024-05-22 07:31:58,2024-05-27 07:32:54,7200.933333333333,11.86760616400032,SMP 4,SMP 4,7200.933333333333,6.0
63,10,2024-05-27 07:32:54,2024-05-28 07:29:25,1436.5166666666667,11.145021726539653,SMP 4,SMP 4,1436.5166666666667,6.0
64,10,2024-05-28 07:29:25,2024-05-29 07:31:02,1441.6166666666668,11.86760616400032,SMP 4,SMP 4,1441.6166666666666,5.0
65,10,2024-05-29 07:31:02,2024-05-30 07:28:56,1437.9,11.86760616400032,SMP 4,SMP 4,1437.9,6.0
66,10,2024-05-30 07:28:56,2024-05-31 07:55:58,1467.0333333333335,11.86760616400032,SMP 4,SMP 4,1467.0333333333333,6.0
67,10,2024-05-31 07:55:58,2024-06-03 07:30:14,4294.266666666666,11.86760616400032,SMP 4,SMP 4,4294.266666666666,6.0
68,10,2024-06-03 07:30:14,2024-06-04 07:31:01,1440.7833333333333,11.86760616400032,SMP 4,SMP 4,1440.7833333333333,6.0
69,10,2024-06-04 07:31:01,2024-06-05 07:31:45,1440.7333333333333,11.145021726539653,SMP 4,SMP 4,1440.7333333333333,6.0
70,10,2024-06-05 07:31:45,2024-06-06 07:30:03,1438.3,11.145021726539653,SMP 4,SMP 4,1438.3,5.0
71,10,2024-06-06 07:30:03,2024-06-07 07:35:30,1445.45,11.338822951619052,SMP 4,SMP 4,1445.45,5.0
72,10,2024-06-07 07:35:30,2024-06-10 07:26:57,4311.45,11.211900589536004,SMP 4,SMP 4,4311.45,5.0
73,10,2024-06-10 07:26:57,2024-06-11 07:59:48,1472.8500000000001,14.345595561772415,SMP 4,SMA 8,1472.85,4.0
74,10,2024-06-11 07:59:48,2024-06-12 07:32:23,1412.5833333333333,8.138249116386291,SMA 8,SMP 4,1412.5833333333333,5.0
75,10,2024-06-12 07:32:23,2024-06-13 07:32:32,1440.15,11.145021726539653,SMP 4,SMP 4,1440.15,4.0
76,10,2024-06-13 07:32:32,2024-06-14 07:32:07,1439.5833333333333,11.145021726539653,SMP 4,SMP 4,1439.5833333333333,5.0
77,10,2024-06-14 07:32:07,2024-06-17 06:42:22,4270.25,7.578722288358208,SMP 4,MAN 2,4270.25,5.0
78,10,2024-06-17 06:42:22,2024-06-19 07:29:23,2927.016666666667,9.41382960765541,MAN 2,SMP 4,2927.016666666667,3.0
79,10,2024-06-19 07:29:23,2024-06-20 07:28:03,1438.6666666666667,9.316955254100058,SMP 4,SMP 4,1438.6666666666667,4.0
80,10,2024-06-28 07:12:11,2024-07-15 07:33:44,24501.550000000003,9.72751234796025,MAN 2,SMP 4,24501.55,4.0
81,10,2024-07-15 07:33:44,2024-07-16 07:35:05,1441.3500000000001,11.145021726539653,SMP 4,SMP 4,1441.35,4.0
82,10,2024-07-16 07:35:05,2024-07-17 07:40:55,1445.8333333333333,11.145021726539653,SMP 4,SMP 4,1445.8333333333333,5.0
83,10,2024-07-17 07:40:55,2024-07-18 07:29:25,1428.5,11.145021726539653,SMP 4,SMP 4,1428.5,5.0
84,10,2024-07-18 07:29:25,2024-07-19 07:32:32,1443.1166666666666,11.145021726539653,SMP 4,SMP 4,1443.1166666666666,5.0
85,10,2024-07-19 07:32:32,2024-07-22 07:40:19,4327.783333333333,11.145021726539653,SMP 4,SMP 4,4327.783333333334,5.0
86,10,2024-07-22 07:40:19,2024-07-23 07:33:58,1433.65,11.210271760603616,SMP 4,SMP 4,1433.65,5.0
87,10,2024-07-23 07:33:58,2024-07-24 07:33:53,1439.9166666666667,16.824672833544266,SMP 4,SMP 4,1439.9166666666667,5.0
88,10,2024-07-24 07:33:53,2024-07-25 07:33:45,1439.8666666666666,11.210271760603616,SMP 4,SMP 4,1439.8666666666666,6.0
89,10,2024-07-25 07:33:45,2024-07-26 07:36:56,1443.1833333333332,11.210271760603616,SMP 4,SMP 4,1443.1833333333334,5.0
90,10,2024-07-26 07:36:56,2024-07-29 07:31:58,4315.033333333334,11.86760616400032,SMP 4,SMP 4,4315.033333333334,5.0
91,10,2024-07-29 07:31:58,2024-07-30 07:28:39,1436.6833333333332,11.86760616400032,SMP 4,SMP 4,1436.6833333333334,6.0
92,10,2024-07-30 07:28:39,2024-07-31 07:29:39,1441.0,11.86760616400032,SMP 4,SMP 4,1441.0,6.0
93,10,2024-07-31 07:29:39,2024-09-02 07:19:59,47510.333333333336,7.1956897048212385,SMP 4,SD Dinoyo 2,47510.333333333336,6.0
94,10,2024-09-02 07:19:59,2024-09-03 07:28:55,1448.9333333333332,13.049766030769106,SD Dinoyo 2,SMP 4,1448.9333333333334,2.0
95,10,2024-09-03 07:28:55,2024-09-04 07:29:57,1441.0333333333333,11.86760616400032,SMP 4,SMP 4,1441.0333333333333,6.0
96,10,2024-09-04 07:29:57,2024-09-05 07:39:33,1449.6,11.145021726539653,SMP 4,SMP 4,1449.6,6.0
97,10,2024-09-05 07:39:33,2024-09-06 07:26:55,1427.3666666666666,11.145021726539653,SMP 4,SMP 4,1427.3666666666666,5.0
98,10,2024-09-06 07:26:55,2024-09-09 07:33:23,4326.466666666667,11.145021726539653,SMP 4,SMP 4,4326.466666666666,5.0
99,10,2024-09-09 07:33:23,2024-09-10 07:34:18,1440.9166666666667,11.145021726539653,SMP 4,SMP 4,1440.9166666666667,5.0
100,10,2024-09-10 07:34:18,2024-09-11 07:32:03,1437.75,11.145021726539653,SMP 4,SMP 4,1437.75,5.0
101,10,2024-09-11 07:32:03,2024-09-12 07:34:03,1442.0,11.145021726539653,SMP 4,SMP 4,1442.0,5.0
102,10,2024-09-12 07:34:03,2024-09-13 07:32:23,1438.3333333333333,11.145021726539653,SMP 4,SMP 4,1438.3333333333333,5.0
103,10,2024-09-13 07:32:23,2024-09-17 07:34:46,5762.383333333333,11.145021726539653,SMP 4,SMP 4,5762.383333333333,5.0
104,10,2024-09-17 07:34:46,2024-09-18 07:31:00,1436.2333333333333,11.145021726539653,SMP 4,SMP 4,1436.2333333333333,5.0
105,10,2024-09-18 07:31:00,2024-09-19 07:58:10,1467.1666666666667,19.254744667580688,SMP 4,SMA 9,1467.1666666666667,5.0
106,10,2024-09-19 07:58:10,2024-09-20 07:33:48,1415.6333333333334,7.560939129290645,SMA 9,SMP 4,1415.6333333333334,6.0
107,10,2024-09-20 07:33:48,2024-09-23 07:44:51,4331.05,18.34071143136089,SMP 4,SD Dinoyo 2,4331.05,4.0
108,10,2024-09-23 07:44:51,2024-09-24 07:55:03,1450.2,6.646905893070848,SD Dinoyo 2,SMP 4,1450.2,6.0
109,10,2024-09-24 07:55:03,2024-09-26 07:31:39,2856.6,11.86760616400032,SMP 4,SMP 4,2856.6,5.0
110,10,2024-09-26 07:31:39,2024-09-27 07:31:15,1439.6000000000001,11.86760616400032,SMP 4,SMP 4,1439.6,6.0
111,10,2024-09-27 07:31:15,2024-09-30 07:41:36,4330.35,19.06329586882156,SMP 4,SD Dinoyo 2,4330.35,6.0
112,11,2024-02-01 16:19:11,2024-02-01 17:10:54,-347910.7,9.331257401333803,SD Dinoyo 2,SD Dinoyo 2,51.71666666666667,7.0
113,11,2024-02-05 17:00:17,2024-02-06 16:42:04,1421.7833333333333,5.867651209928538,SD Dinoyo 2,SMA Dempo,1421.7833333333333,3.0
114,11,2024-02-06 17:15:08,2024-02-07 17:19:34,1444.4333333333332,12.758471939258783,SD Dinoyo 2,SD Dinoyo 2,1444.4333333333334,2.0
115,11,2024-02-07 17:19:34,2024-02-12 17:08:05,7188.516666666667,9.384959993939956,SD Dinoyo 2,SD Dinoyo 2,7188.516666666666,5.0
116,11,2024-02-12 17:08:05,2024-02-13 17:09:28,1441.3833333333334,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1441.3833333333334,4.0
117,11,2024-02-13 17:09:28,2024-02-15 17:04:13,2874.75,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,2874.75,3.0
118,11,2024-02-15 17:04:13,2024-02-16 16:56:42,1432.4833333333331,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1432.4833333333333,3.0
119,11,2024-02-16 16:56:42,2024-02-19 17:15:29,4338.783333333333,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,4338.783333333334,3.0
120,11,2024-02-19 17:15:29,2024-02-20 17:44:55,1469.4333333333334,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1469.4333333333334,3.0
121,11,2024-02-20 17:44:55,2024-02-21 15:22:41,1297.7666666666667,3.6116224898265052,SD Dinoyo 2,SMA 9,1297.7666666666667,2.0
122,11,2024-02-21 15:54:55,2024-02-21 17:09:29,74.56666666666666,3.9728109242513523,SMP 4,SMA 9,74.56666666666666,2.0
123,11,2024-02-21 17:09:29,2024-02-22 16:45:32,1416.05,3.694557574534403,SMA 9,MAN 2,1416.05,3.0
124,11,2024-02-22 16:45:32,2024-02-22 17:39:45,54.21666666666667,2.7673356009925842,MAN 2,SD Dinoyo 2,54.21666666666667,2.0
125,11,2024-02-22 17:39:45,2024-02-23 17:10:55,1411.1666666666667,9.384959993939956,SD Dinoyo 2,SD Dinoyo 2,1411.1666666666667,2.0
126,11,2024-02-23 17:10:55,2024-02-26 17:25:46,4334.85,8.329709602220035,SD Dinoyo 2,SPBU Tlogomas,4334.85,4.0
127,11,2024-02-26 17:25:46,2024-02-27 17:20:11,1434.4166666666665,8.303336767635,SPBU Tlogomas,SD Dinoyo 2,1434.4166666666667,3.0
128,11,2024-02-27 17:20:11,2024-02-28 17:22:17,1442.1000000000001,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1442.1,3.0
129,11,2024-02-29 16:39:57,2024-02-29 17:19:24,39.45,3.5173087840114174,SMA Dempo,SD Dinoyo 2,39.45,3.0
130,11,2024-02-29 17:19:24,2024-03-01 17:00:25,1421.0166666666667,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1421.0166666666667,2.0
131,11,2024-03-01 17:00:25,2024-03-04 17:36:28,4356.049999999999,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,4356.05,3.0
132,11,2024-03-04 17:36:28,2024-03-05 17:21:25,1424.95,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1424.95,3.0
133,11,2024-03-05 17:21:25,2024-03-06 17:28:56,1447.5166666666667,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1447.5166666666667,3.0
134,11,2024-03-06 17:28:56,2024-03-07 17:06:27,1417.5166666666667,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1417.5166666666667,3.0
135,11,2024-03-07 17:06:27,2024-03-08 16:51:46,1425.3166666666666,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1425.3166666666666,3.0
136,11,2024-03-18 15:47:39,2024-03-19 15:17:08,1409.4833333333333,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1409.4833333333333,3.0
137,11,2024-03-19 15:17:08,2024-03-20 15:20:31,1443.3833333333332,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1443.3833333333334,3.0
138,11,2024-03-20 15:20:31,2024-03-21 15:36:19,1455.8,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1455.8,3.0
139,11,2024-03-21 15:36:19,2024-03-25 15:21:17,5744.966666666666,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,5744.966666666666,3.0
140,11,2024-03-25 15:21:17,2024-03-27 15:28:37,2887.333333333333,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,2887.3333333333335,3.0
141,11,2024-03-27 15:28:37,2024-04-01 15:49:59,7221.366666666667,0.9140332362197978,SD Dinoyo 2,SMA 9,7221.366666666667,3.0
142,11,2024-04-02 15:15:25,2024-04-04 15:25:50,2890.4166666666665,0.9140332362197978,SMA 9,SD Dinoyo 2,2890.4166666666665,2.0
143,11,2024-04-04 15:25:50,2024-04-22 16:33:34,25987.733333333334,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,25987.733333333334,1.0
144,11,2024-04-22 16:33:34,2024-04-23 17:06:15,1472.6833333333334,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1472.6833333333334,3.0
145,11,2024-04-24 16:37:56,2024-04-24 17:27:44,49.800000000000004,3.5173087840114174,SMA Dempo,SD Dinoyo 2,49.8,3.0
146,11,2024-04-24 17:27:44,2024-04-25 16:50:07,1402.3833333333334,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1402.3833333333334,2.0
147,11,2024-04-25 16:50:07,2024-04-26 15:56:44,1386.6166666666666,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1386.6166666666666,3.0
148,11,2024-04-26 15:56:44,2024-04-29 17:04:27,4387.716666666667,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,4387.716666666666,3.0
149,11,2024-04-29 17:04:27,2024-04-30 16:49:57,1425.5,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1425.5,3.0
150,11,2024-04-30 16:49:57,2024-05-02 17:36:03,2926.1,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,2926.1,3.0
151,11,2024-05-02 17:36:03,2024-05-03 16:03:00,1346.95,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1346.95,3.0
152,11,2024-05-03 16:03:00,2024-05-06 17:11:06,4388.1,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,4388.1,3.0
153,11,2024-05-06 17:11:06,2024-05-08 16:38:05,2846.9833333333336,8.329709602220035,SD Dinoyo 2,SPBU Tlogomas,2846.983333333333,3.0
154,11,2024-05-08 16:38:05,2024-05-13 17:00:23,7222.3,8.303336767635,SPBU Tlogomas,SD Dinoyo 2,7222.3,3.0
155,11,2024-05-13 17:00:23,2024-05-14 17:00:01,1439.6333333333334,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1439.6333333333334,3.0
156,11,2024-05-14 17:00:01,2024-05-15 17:05:02,1445.0166666666667,8.329709602220035,SD Dinoyo 2,SPBU Tlogomas,1445.0166666666667,3.0
157,11,2024-05-15 17:05:02,2024-05-16 16:53:31,1428.4833333333333,8.303336767635,SPBU Tlogomas,SD Dinoyo 2,1428.4833333333333,3.0
158,11,2024-05-16 16:53:31,2024-05-17 15:56:41,1383.1666666666667,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1383.1666666666667,3.0
159,11,2024-05-20 15:36:52,2024-05-20 16:39:46,62.900000000000006,3.5173087840114174,SMA Dempo,SD Dinoyo 2,62.9,3.0
160,11,2024-05-20 16:39:46,2024-05-21 17:11:51,1472.0833333333333,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1472.0833333333333,2.0
161,11,2024-05-21 17:11:51,2024-05-22 16:57:12,1425.3500000000001,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1425.35,3.0
162,11,2024-05-22 16:57:12,2024-05-27 16:53:48,7196.6,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,7196.6,3.0
163,11,2024-05-28 16:11:09,2024-05-28 16:52:31,41.36666666666667,3.5173087840114174,SMA Dempo,SD Dinoyo 2,41.36666666666667,3.0
164,11,2024-05-28 16:52:31,2024-06-03 15:16:19,8543.8,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,8543.8,2.0
165,11,2024-06-11 15:16:21,2024-06-11 17:18:02,121.68333333333332,1.3487946268033537,SPBU Tlogomas,SD Dinoyo 2,121.68333333333334,3.0
166,11,2024-06-11 17:18:02,2024-06-13 15:54:38,2796.6,2.6975892536067074,SD Dinoyo 2,SD Dinoyo 2,2796.6,1.0
167,11,2024-06-13 15:54:38,2024-06-13 16:49:54,55.266666666666666,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,55.266666666666666,2.0
168,11,2024-06-13 16:49:54,2024-06-14 16:48:20,1438.4333333333334,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1438.4333333333334,2.0
169,11,2024-06-14 16:48:20,2024-06-17 15:05:59,4217.650000000001,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,4217.65,2.0
170,11,2024-06-17 15:05:59,2024-06-19 15:18:19,2892.333333333333,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,2892.3333333333335,2.0
171,11,2024-06-19 15:18:19,2024-06-20 16:28:11,1509.8666666666668,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1509.8666666666666,2.0
172,11,2024-06-20 16:28:11,2024-06-24 17:23:24,5815.216666666667,3.6116224898265052,SD Dinoyo 2,SMA 9,5815.216666666666,2.0
173,11,2024-06-24 17:23:24,2024-07-15 15:16:08,30112.733333333334,0.9140332362197978,SMA 9,SD Dinoyo 2,30112.733333333334,2.0
174,11,2024-07-15 15:16:08,2024-07-16 16:33:06,1516.9666666666667,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1516.9666666666667,1.0
175,11,2024-07-16 16:33:06,2024-07-17 16:52:48,1459.6999999999998,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1459.7,2.0
176,11,2024-07-17 16:52:48,2024-07-18 16:30:33,1417.75,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1417.75,2.0
177,11,2024-07-18 16:30:33,2024-07-22 17:35:38,5825.083333333333,9.652131394438355,SD Dinoyo 2,SD Dinoyo 2,5825.083333333333,2.0
178,11,2024-07-22 17:35:38,2024-07-23 17:06:20,1410.7,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1410.7,4.0
179,11,2024-07-23 17:06:20,2024-07-24 15:27:56,1341.6,1.3487946268033537,SD Dinoyo 2,SPBU Tlogomas,1341.6,3.0
180,11,2024-07-24 15:27:56,2024-07-24 17:04:35,96.65,8.303336767635,SPBU Tlogomas,SD Dinoyo 2,96.65,1.0
181,11,2024-07-25 15:33:06,2024-07-25 16:55:52,82.76666666666667,8.303336767635,SPBU Tlogomas,SD Dinoyo 2,82.76666666666667,3.0
182,11,2024-07-25 16:55:52,2024-07-29 17:35:11,5799.316666666667,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,5799.316666666667,3.0
183,11,2024-07-29 17:35:11,2024-07-30 17:08:01,1412.8333333333333,9.652131394438355,SD Dinoyo 2,SD Dinoyo 2,1412.8333333333333,3.0
184,11,2024-07-30 17:08:01,2024-07-31 16:53:05,1425.0666666666666,6.980914975416681,SD Dinoyo 2,SD Dinoyo 2,1425.0666666666666,4.0
185,11,2024-09-02 17:56:25,2024-09-03 17:10:14,1393.8166666666668,9.652131394438355,SPBU Tlogomas,SPBU Tlogomas,1393.8166666666666,3.0
186,11,2024-09-03 17:10:14,2024-09-04 17:15:50,1445.6,8.303336767635,SPBU Tlogomas,SD Dinoyo 2,1445.6,4.0
187,11,2024-09-04 17:15:50,2024-09-05 17:18:21,1442.5166666666667,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1442.5166666666667,3.0
188,11,2024-09-06 15:33:13,2024-09-09 17:04:27,4411.233333333334,3.1768610992429496,SD Dinoyo 2,SPBU Tlogomas,4411.233333333334,2.0
189,11,2024-09-09 17:04:27,2024-09-10 16:32:48,1408.35,2.6975892536067074,SPBU Tlogomas,SPBU Tlogomas,1408.35,2.0
190,11,2024-09-10 16:32:48,2024-09-10 17:17:27,44.650000000000006,3.1757651948416123,SPBU Tlogomas,SD Dinoyo 2,44.65,2.0
191,11,2024-09-10 17:17:27,2024-09-11 17:17:17,1439.8333333333335,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,1439.8333333333333,2.0
192,11,2024-09-11 17:17:17,2024-09-12 15:20:48,1323.5166666666667,2.6975892536067074,SD Dinoyo 2,SD Dinoyo 2,1323.5166666666667,2.0
193,11,2024-09-12 15:20:48,2024-09-12 17:27:22,126.56666666666666,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,126.56666666666666,2.0
194,11,2024-09-13 15:37:10,2024-09-17 17:04:35,5847.416666666667,1.8280664724395956,SD Dinoyo 2,SD Dinoyo 2,5847.416666666667,2.0
